menu_id,menu_name,category,price,popularity
M001,ผัดไทย,อาหารหลัก,107.06,4.7
M002,ข้าวผัด,อาหารหลัก,79.56,2.8
M003,ต้มยำกุ้ง,อาหารหลัก,102.11,3.7
M004,แกงเขียวหวานไก่,อาหารหลัก,141.75,5.0
M005,ส้มตำ,อาหารหลัก,106.32,4.8
M006,ลาบหมู,อาหารหลัก,52.65,3.0
M007,ผัดกะเพรา,อาหารหลัก,72.67,2.9
M008,แกงส้มปลา,อาหารหลัก,106.01,3.6
M009,ข้าวซอย,อาหารหลัก,70.05,3.9
M010,หมี่กรอบ,อาหารหลัก,79.11,4.7
M011,ปลากะพงนึ่งมะนาว,อาหารหลัก,40.06,4.4
M012,แกงมัสมั่นเนื้อ,อาหารหลัก,106.97,2.9
M013,ยำวุ้นเส้น,อาหารหลัก,43.19,4.2
M014,ก๋วยเตี๋ยวต้มยำ,อาหารหลัก,82.87,4.1
M015,ข้าวคลุกกะปิ,อาหารหลัก,66.74,3.1
M016,ไก่ทอดหาดใหญ่,อาหารหลัก,72.24,4.3
M017,หอยทอด,อาหารหลัก,105.73,4.1
M018,ผัดซีอิ๊ว,อาหารหลัก,64.8,3.8
M019,แกงเปอะ,อาหารหลัก,52.13,4.6
M020,ข้าวกะเพรา,อาหารหลัก,120.47,3.8
M021,ชาเย็น,เครื่องดื่ม,15.0,4.9
M022,กาแฟเย็น,เครื่องดื่ม,24.59,4.2
M023,น้ำส้ม,เครื่องดื่ม,21.78,3.0
M024,น้ำมะนาว,เครื่องดื่ม,21.08,3.6
M025,โค้ก,เครื่องดื่ม,27.11,4.2
M026,สไปรท์,เครื่องดื่ม,22.02,4.9
M027,น้ำเปล่า,เครื่องดื่ม,23.37,4.8
M028,ชาร้อน,เครื่องดื่ม,21.06,2.6
M029,กาแฟร้อน,เครื่องดื่ม,21.37,4.7
M030,น้ำผลไม้รวม,เครื่องดื่ม,31.98,4.8
M031,น้ำแข็งใส,เครื่องดื่ม,38.23,3.9
M032,น้ำอัดลม,เครื่องดื่ม,23.27,2.8
M033,เบียร์,เครื่องดื่ม,23.02,3.3
M034,น้ำแดง,เครื่องดื่ม,37.36,3.0
M035,นมเย็น,เครื่องดื่ม,19.98,4.3
M036,ขนมครก,ของหวาน,40.69,4.4
M037,ทับทิมกรอบ,ของหวาน,39.99,4.9
M038,ข้าวเหนียวมะม่วง,ของหวาน,27.56,3.8
M039,ลูกชุบ,ของหวาน,34.8,2.8
M040,ฟักทอง,ของหวาน,15.0,3.7
M041,บัวลอย,ของหวาน,39.13,4.9
M042,ไอติม,ของหวาน,29.5,3.9
M043,เค้ก,ของหวาน,30.26,4.6
M044,คุกกี้,ของหวาน,52.67,3.2
M045,บราวนี่,ของหวาน,54.14,2.6
M046,ผลไม้,ของหวาน,33.31,4.9
